brand,name,spec_rating,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,display_size,resolution_width,resolution_height,OS,warranty,price
Lenovo,ThinkBook 15 G5 21JFA00BIN Laptop,70.0,7th Gen AMD Ryzen 7 7730U,"Octa Core, 16 Threads",8,DDR4,512,SSD,AMD Radeon AMD,15.6,1920.0,1080.0,Windows 11 OS,1,49990
Asus,Vivobook 16 2023 X1605VA-MB947WS Laptop,71.0,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",16,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,16.0,1920.0,1200.0,Windows 11 OS,1,80739
Lenovo,Thinkpad E15 G4 21DJA0Y0IN Laptop,64.0,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16,DDR4,512,SSD,Intel Integrated Iris Xe,15.6,1920.0,1080.0,Windows 11 OS,1,62990
HP,Victus 15-fa1132TX Laptop,66.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",8,DDR4,512,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920.0,1080.0,Windows 11 OS,1,62990
HP,Victus 15-fb1017AX Gaming Laptop,71.0,7th Gen Amd Ryzen 5 7535HS,"Hexa Core, 12 Threads",16,DDR5,512,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920.0,1080.0,Windows 11 OS,1,69501
Lenovo,IdeaPad Slim 5 14IAH8 83BF000UIN Laptop,69.32352941176471,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16,LPDDR5,512,SSD,Intel UHD Graphics,14.0,1920.0,1080.0,Windows 11 OS,1,59990
HP,Victus 15-fb1015AX Gaming Laptop,69.0,7th Gen Amd Ryzen 5 7535HS,"Hexa Core, 12 Threads",8,DDR5,512,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920.0,1080.0,Windows 11 OS,1,54990
Lenovo,LOQ 15IRH8 82XV00F4IN 2023 Gaming Laptop,69.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16,DDR5,512,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920.0,1080.0,Windows 11 OS,1,64990
MSI,Modern 15 B12M-612IN Laptop,60.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",16,DDR4,512,SSD,Intel Integrated Iris Xe,15.6,1920.0,1080.0,Windows 11 OS,1,37729
Lenovo,IdeaPad Gaming 3 82K2025MIN Laptop,69.0,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",16,DDR4,512,SSD,4GB NVIDIA GeForce GTX 1650,15.6,1920.0,1080.0,Windows 11 OS,1,50712
MSI,Modern 14 C11M-029IN Laptop,62.0,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",16,DDR4,512,SSD,Intel Integrated Iris Xe,14.0,1920.0,1080.0,Windows 11 OS,1,44990
Chuwi,CoreBook X Laptop,69.32352941176471,10th Gen Intel Core i3 1005G1,"Dual Core, 4 Threads",8,DDR4,512,SSD,Intel UHD Graphics,14.0,1920.0,1200.0,Windows 11 OS,1,23990
HP,15s-ey2001AU Laptop,63.0,5th Gen AMD Ryzen 7   5700U,"Octa Core, 16 Threads",16,DDR4,512,SSD,AMD Radeon Radeon,15.6,1920.0,1080.0,Windows 11 OS,1,49990
HP,Pavilion 15-eg3079TU Laptop,66.0,13th Gen Intel Core i5 1340p,"12 Cores (4P + 8E), 16 Threads",16,DDR4,512,SSD,Intel Integrated Intel Iris Xe Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,72990
Lenovo,IdeaPad Slim 3 82H803B6IN Laptop,66.0,11th Gen Intel Core i7 1165G7,"Quad Core, 8 Threads",16,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,52101
Infinix,INBook X2 Slim Series Laptop,69.32352941176471,11th Gen Intel Core i3  1115G4,"Dual Core, 4 Threads",8,LPDDR4X,512,SSD,Intel Integrated UHD Graphics,14.0,1920.0,1080.0,Windows 11 OS,1,28990
HP,Pavilion 15s-fq5190TU Laptop,65.0,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16,DDR4,512,SSD,Intel Iris Xe,15.6,1920.0,1080.0,Windows 11 OS,1,69490
Acer,Aspire 5 A515-58P NX.KHJSI.001 Gaming Laptop,69.32352941176471,13th Gen Intel Core i3 1315U,"Hexa Core (2P + 4E), 8 Threads",8,LPDDR5,512,SSD,Intel UHD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,39965
Acer,Aspire 5 14 A514-56GM 2023 Gaming Laptop,67.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16,DDR4,512,SSD,4GB NVIDIA GeForce RTX 2050,14.0,1920.0,1080.0,Windows 11 OS,1,54990
Asus,Vivobook 15 X1502ZA-EJ532WS Laptop,64.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8,DDR4,512,SSD,Intel Iris Xe,15.6,1920.0,1080.0,Windows 11 OS,1,46999
Asus,Vivobook S15 OLED 2023 S5504VA-MA543WS Laptop,65.0,13th Gen Intel Core i5 13500H,"12 Cores (4P + 8E), 16 Threads",16,LPDDR5,512,SSD,Intel Integrated Iris Xe,15.6,2880.0,1620.0,Windows 11 OS,1,83990
HP,Victus 15-fb0108AX Gaming Laptop,67.0,5th Gen AMD Ryzen 5  5600H ,"Hexa Core, 12 Threads",8,DDR4,512,SSD,4GB AMD Radeon RX 6500M Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,51499
Dell,Vostro 3425 M552321WIN9S Laptop,68.0,5th Gen AMD Ryzen 5 5625U,"Hexa Core, 12 Threads",16,DDR4,512,SSD,AMD Radeon Graphics,14.0,1920.0,1080.0,Windows 11 OS,1,50990
HP,Chromebook 15a-na0012TU Laptop,69.32352941176471,Intel Celeron  N4500,"Dual Core, 2 Threads",4,LPDDR4x,128,Hard-Disk,Intel Integrated UHD Graphics,15.6,1366.0,768.0,Chrome OS,1,23990
Acer,Aspire 3 A315-24P NX.KDESI.003 Laptop,69.32352941176471,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8,LPDDR5,512,SSD,AMD Radeon Graphiics,15.6,1920.0,1080.0,Windows 11 OS,1,27990
HP,Pavilion x360 14-ek1010TU Laptop,70.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16,DDR4,1024,SSD,Intel Integrated Iris Xe,14.0,1920.0,1080.0,Windows 11 OS,1,79990
Samsung,Galaxy Book 3 NP750XFG-KA3IN Laptop,60.0,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",16,LPDDR4x,512,SSD,Intel Iris Xe Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,84390
Infinix,INBook Y1 Plus Laptop,69.32352941176471,10th Gen Intel Core i3 1005G1,"Dual Core, 4 Threads",8,LPDDR4X,256,SSD,Intel Integrated UHD,15.6,1920.0,1080.0,Windows 11 OS,1,24990
Samsung,Galaxy Book 3 Ultra NP960XFH-XA1IN Laptop,82.0,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",32,LPDDR5,1024,SSD,NVIDIA GeForce RTX 4070,16.0,2880.0,1800.0,Windows 11 OS,1,281990
Lenovo,IdeaPad 1 15AMN7 82VG00EQIN Laptop,69.32352941176471,AMD Athlon 7120U,"Dual Core, 2 Threads",8,LPDDR5,512,SSD,AMD Radeon 610M Graphics,15.6,1366.0,768.0,Windows 11 OS,1,26590
Infinix,INBook X2 Slim Series XL23 2023 Laptop,60.0,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",16,LPDDR4X,1024,SSD,Intel Integrated Iris Xe,14.0,1920.0,1080.0,Windows 11 OS,1,37990
Asus,Vivobook Pro 15 M6500RC-HN741WS Laptop,70.0,6th Gen AMD Ryzen 7 6800H,"Octa Core, 16 Threads",16,LPDDR5,512,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920.0,1080.0,Windows 11 OS,1,71189
HP,Victus 16-s0095AX Gaming Laptop,76.0,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16,DDR5,512,SSD,6GB NVIDIA GeForce RTX 3050,16.1,1920.0,1080.0,Windows 11 OS,1,85999
Lenovo,Yoga 7 82YM0074IN Laptop,80.0,7th Gen AMD Ryzen 7 7735U,"Octa Core, 16 Threads",16,DDR5,1024,SSD,AMD Radeon Graphics,14.0,2880.0,1800.0,Windows 11 OS,1,93990
Asus,Zenbook Flip 14 OLED UP5401ZA-KU541WS Laptop,69.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16,LPDDR5,512,SSD,Intel Iris Xe Graphics,14.0,3840.0,2400.0,Windows 11 OS,1,84990
Dell,Inspiron 3530 2023 Laptop,69.32352941176471,13th Gen Intel Core i3 1305U,"5 Cores (1P + 4E), 6 Threads",8,DDR4,1024,SSD,Intel Integrated UHD,15.6,1920.0,1080.0,Windows 11 OS,1,44190
Acer,Predator 16 NH.QLUSI.005 Laptop,79.0,13th Gen Intel Core i9 13900HX,"24 Cores (8P + 16E), 32 Threads",16,DDR5,1024,SSD,8GB NVIDIA GeForce RTX 4060,16.0,2560.0,1600.0,Windows 11 OS,1,159990
HP,Victus 15-fb0134AX Gaming Laptop,70.0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",16,DDR4,512,SSD,4GB AMD Radeon RX 6500M Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,52990
Acer,Aspire Lite 2023 AL15-51 Laptop,62.0,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",8,DDR4,512,SSD,Intel Iris Xe Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,39990
Dell,Inspiron 2023 14 5430 Laptop,63.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16,LPDDR5,1024,SSD,Intel Iris Xe Graphics,14.0,1920.0,1200.0,Windows 11 OS,1,73990
Lenovo,IdeaPad Gaming 3 82K101L7IN Laptop,70.0,11th Gen Intel Core i5 11320H,"Quad Core, 8 Threads",16,DDR4,512,SSD,4GB NVIDIA GTX 1650,15.6,1920.0,1080.0,Windows 11 OS,1,57500
Asus,Vivobook Pro 15 M6500QF-HN521WS Laptop,60.0,5th Gen AMD Ryzen 5 5600HS,"Hexa Core, 12 Threads",8,DDR4,512,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920.0,1080.0,Windows 11 OS,1,59990
Acer,Aspire 7 A715-76G UN.QMESI.004 Gaming Laptop,69.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16,DDR4,512,SSD,4GB NVIDIA GeForce GTX 1650,15.6,1920.0,1080.0,Windows 11 OS,1,53990
Asus,VivoBook 14 X415EA-EK326WS Notebook,69.32352941176471,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8,DDR4,512,SSD,Intel Integrated Intel UHD,14.0,1920.0,1080.0,Windows 11 OS,1,33990
Dell,Inspiron 5630 Laptop,70.0,13th Gen Intel Core i5 1340P,"12 Cores (4P + 8E), 16 Threads",16,LPDDR5,512,SSD,Intel Iris Xe Graphics,16.0,2560.0,1600.0,Windows 11 OS,1,75990
Apple,MacBook Air 15 2023 Laptop,69.32352941176471,Apple M2,Octa Core (4P + 4E),8,DDR4,512,SSD,10-Core GPU,15.3,2880.0,1864.0,Mac OS,1,144990
Asus,Vivobook 15 X1502ZA-EJ542WS Laptop,64.0,12th Gen Intel Core i5 12500H ,"12 Cores (4P + 8E), 16 Threads",16,DDR4,512,SSD,Intel Iris Xe,15.6,1920.0,1080.0,Windows 11 OS,1,60539
Asus,Vivobook 15 M1502QA-EJ742WS Laptop,69.32352941176471,5th Gen AMD Ryzen 7 5800H,"Octa Core, 16 Threads",16,DDR4,512,SSD,AMD Radeon,15.6,1920.0,1080.0,Windows OS,1,56990
HP,Pavilion 15-eg3027TU Laptop,66.0,13th Gen Intel Core i5 1340p,"12 Cores (4P + 8E), 16 Threads",16,DDR4,512,SSD,Intel Integrated Intel Iris Xe Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,75533
Dell,G15-5530 GN553064GRM002ORB1 Gaming Laptop,69.0,13th Gen Intel Core i5 13450HX,"10 Cores (6P + 4E), 16 Threads",8,DDR5,512,SSD,6GB NVIDIA GeForce RTX 3050,15.6,1920.0,1080.0,Windows 11 OS,1,74990
Asus,TUF Gaming A15 FA577NU-LP082W Gaming Laptop,77.0,7th Gen AMD Ryzen 7 7735HS,"Octa Core, 16 Threads",16,DDR5,512,SSD,6GB NVIDIA GeForce RTX 4050,15.6,1920.0,1080.0,Windows 11 OS,1,94990
Asus,ROG Strix G16 2023 G614JV-N4141WS Gaming Laptop,77.0,13th Gen Intel Core i9 13980HX,"24 Cores (8P + 16E), 32 Threads",16,DDR5,1024,SSD,8GB NVIDIA GeForce RTX 4060,16.0,2560.0,1600.0,Windows 11 OS,1,179990
Asus,Vivobook 16X 2023 K3605ZC-MB541WS Laptop,72.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16,DDR4,512,SSD,4GB NVIDIA GeForce RTX 3050,16.0,1920.0,1200.0,Windows 11 OS,1,77990
HP,15s-fr5009TU Laptop,69.32352941176471,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8,DDR4,512,SSD,Intel UHD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,37990
HP,15-fd0013TU Laptop,69.32352941176471,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16,DDR4,512,SSD,Intel Integrated Integrated,15.6,1920.0,1080.0,Windows 11 OS,1,62990
Acer,Predator Helios Neo 16 PHN16-71 2023 Gaming Laptop,78.0,13th Gen Intel Core i7 13700HX,"16 Cores (8P + 8E), 24 Threads",16,DDR5,1024,SSD,8GB NVIDIA GeForce RTX 4060,16.0,2560.0,1600.0,Windows 11 OS,1,129999
HP,Pavilion 15-eh2050AU Laptop,62.0,5th Gen AMD Ryzen 5 5625U,"Hexa Core, 12 Threads",8,DDR4,512,SSD,AMD Radeon Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,52990
Acer,Predator Helios Neo 16 PHN16-71 Laptop,75.0,13th Gen Intel Core i7 13700HX,"16 Cores (8P + 8E), 24 Threads",16,DDR5,512,SSD,6GB NVIDIA GeForce RTX 4050,16.0,1920.0,1200.0,Windows 11 OS,1,104990
Realme,Book Prime CloudPro002 Laptop,62.0,11th Gen Intel Core i5 11320H,"Quad Core, 8 Threads",8,LPDDR4X,512,SSD,Intel Iris Xe Graphics,14.0,2160.0,1440.0,Windows 11 OS,1,47999
Acer,Predator Helios Neo 16 PHN16-71 Gaming Laptop,75.0,13th Gen Intel Core i7 13700HX,"16 Cores (8P + 8E), 24 Threads",16,DDR5,1024,SSD,6GB NVIDIA GeForce RTX 4050,16.0,1920.0,1200.0,Windows 11 OS,1,114499
HP,Pavilion 15-eg2017TU Laptop,60.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8,DDR4,512,SSD,Intel UHD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,49990
Asus,Vivobook 15 X1502ZA-EJ953WS Laptop,69.32352941176471,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8,DDR4,512,SSD,Intel Iris Xe,15.6,1920.0,1080.0,Windows 11 OS,1,39990
Acer,Nitro 5 AN515-47 2023 Gaming Laptop,73.0,7th Gen AMD Ryzen 5 7535HS,"Hexa Core, 12 Threads",16,DDR5,512,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920.0,1080.0,Windows 11 OS,1,68990
Acer,Nitro 5 AN515-47 Gaming Laptop,72.0,7th Gen AMD Ryzen 7 7735HS,"Octa Core, 16 Threads",16,DDR5,512,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920.0,1080.0,Windows 11 OS,1,79990
MSI,GF63 Thin 11UC-1293IN Gaming Laptop,75.0,11th Gen Intel Core i7 11800H,"Octa Core, 16 Threads",16,DDR4,512,SSD,4GB NVIDIA Geforce RTX 3050,15.6,1920.0,1080.0,Windows 11 OS,2,66490
Asus,Vivobook S14 Flip 2022 TN3402QA-LZ741WS Laptop,70.0,5th Gen AMD Ryzen 7 5800H,"Octa Core, 16 Threads",16,DDR4,512,SSD,AMD Radeon Graphics,14.0,1920.0,1200.0,Windows 11 OS,1,69990
Asus,Vivobook S15 OLED 2023 S5504VA-MA543WS Laptop,65.0,13th Gen Intel Core i5 13500H,"12 Cores (4P + 8E), 16 Threads",16,LPDDR5,512,SSD,Intel Integrated Iris Xe,15.6,2880.0,1620.0,Windows 11 OS,1,86490
HP,15-fc0025AU Laptop,69.32352941176471,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8,DDR4,512,SSD,AMD Radeon AMD,15.6,1920.0,1080.0,Windows 11 OS,1,32790
Asus,ROG Zephyrus Duo 16,69.32352941176471,7th Gen AMD Ryzen 9  7945HX ,"16 Cores, 32 Threads",32,DDR5,2048,SSD,16GB NVIDIA GeForce RTX 4090,16.0,3840.0,2400.0,Windows 11 OS,1,429990
Dell,Vostro 3425 M552321WIN9S Laptop,68.0,5th Gen AMD Ryzen 5 5625U,"Hexa Core, 12 Threads",16,DDR4,512,SSD,AMD Radeon Graphics,14.0,1920.0,1080.0,Windows 11 OS,1,49990
MSI,Modern 14 C7M-062IN Laptop,62.0,7th Gen AMD Ryzen 5 7530U,"Hexa Core, 12 Threads",16,DDR4,512,SSD,AMD Radeon AMD,14.0,1920.0,1080.0,Windows 11 OS,1,43990
MSI,Modern 14 C11M-030IN Laptop,69.32352941176471,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",8,DDR4,512,SSD,Intel Integrated Iris Xe,14.0,1920.0,1080.0,Windows 11 OS,1,36990
MSI,Sword 15 A12VF-401IN Gaming Laptop,79.0,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",16,DDR5,1024,SSD,8GB NVIDIA GeForce RTX 4060,15.6,1920.0,1080.0,Windows 11 OS,2,102990
Acer,Extensa 15 EX215-33 Laptop,69.32352941176471,Intel Core i3 N305,"Octa Core, 8 Threads",8,LPDDR5,256,SSD,Intel Integrated UHD,15.6,1920.0,1080.0,Windows 11 OS,1,29990
HP,Pavilion x360 14-ek1010TU Laptop,70.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16,DDR4,1024,SSD,Intel Integrated Iris Xe,14.0,1920.0,1080.0,Windows 11 OS,1,77889
Samsung,Galaxy Book 3 NP750XFG-KB1IN Laptop,69.32352941176471,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",8,LPDDR4x,512,SSD,Intel Iris Xe Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,69990
Samsung,Galaxy Book 3 360 NP750QFG-KA3IN Laptop,74.0,13th Gen Intel Core i7 1360P,"12 Cores (4P + 8E), 16 Threads",16,LPDDR4x,1024,SSD,Intel Iris Xe Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,138990
HP,Victus 15-fb0777AX Gaming Laptop,67.0,5th Gen AMD Ryzen 5  5600H ,"Hexa Core, 12 Threads",8,DDR4,512,SSD,4GB AMD Radeon RX 6500M Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,51990
Samsung,Galaxy Book 3 Laptop,69.32352941176471,13th Gen Intel Core i5 1340P,"12 Cores (4P + 8E), 16 Threads",8,LPDDR5,512,SSD,Intel Iris Xe Graphics,14.0,1920.0,1080.0,Windows 11 OS,1,69990
Asus,Vivobook Pro 15 OLED M3500QC-L1502WS Gaming Laptop,66.0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",16,DDR4,512,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920.0,1080.0,Windows 11 OS,1,72990
Asus,Vivobook 16X M1603QA-MB512WS Laptop,67.0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",16,DDR4,512,SSD,AMD Radeon Vega 7,16.0,1200.0,1920.0,Windows 11 OS,1,50400
Dell,Latitude 3430 Laptop,60.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8,DDR4,512,SSD,Intel Iris Xe Graphics,14.0,1366.0,768.0,Windows 11 OS,1,108000
Dell,Inspiron 3520 Laptop,69.32352941176471,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8,DDR4,1024,Hard-Disk,Intel Iris Xe Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,50990
Lenovo,IdeaPad Gaming 3 15IHU6 82K101EDIN Laptop,67.0,11th Gen Intel Core i5 11300H,"Quad Core, 8 Threads",8,DDR4,512,SSD,4GB NVIDIA GeForce RTX 3050 Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,47990
HP,Omen 16-n0079AX Gaming Laptop,80.0,6th Gen AMD Ryzen 7  6800H,"Octa Core, 16 Threads",16,DDR5,512,SSD,8GB AMD Radeon RX 6650M,16.1,1920.0,1080.0,Windows 11 OS,1,91990
Acer,One 14 Z2-493 Laptop,69.32352941176471,3rd Gen AMD Ryzen 3  3250U,"Dual Core, 4 Threads",8,DDR4,256,SSD,AMD Radeon Graphics,14.0,1366.0,768.0,Windows 11 OS,1,25449
Acer,Aspire 3 A315-59 Laptop,69.32352941176471,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8,DDR4,512,SSD,Intel Graphics ,15.6,1920.0,1080.0,Windows 11 OS,1,33207
HP,Pavilion 15s-FR5007TU Laptop,69.32352941176471,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8,DDR4,512,SSD,Intel Iris Xe,15.6,1920.0,1080.0,Windows 11 OS,1,52990
Dell,Vostro 3425 Laptop,66.0,5th Gen AMD Ryzen 5 5625U,"Hexa Core, 12 Threads",8,DDR4,512,SSD,AMD Radeon Graphics,14.0,1920.0,1080.0,Windows 11 OS,1,42434
HP,15s-du3614TU Laptop,65.0,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8,DDR4,1024,Hard-Disk,Intel Integrated UHD,15.6,1920.0,1080.0,Windows 11 OS,1,42200
HP,Pavilion 15s-eq2182AU Laptop,60.0,5th Gen AMD Ryzen 5  5500U ,"Hexa Core, 12 Threads",16,DDR4,512,SSD,AMD Radeon Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,41990
Asus,TUF Gaming A15 2022 FA577RE-HN055WS Gaming Laptop,79.0,6th Gen AMD Ryzen 7 6800H ,"Octa Core, 16 Threads",16,DDR5,512,SSD,4GB NVIDIA GeForce RTX 3050 Ti,15.6,1920.0,1080.0,Windows 11 OS,1,80900
Asus,Vivobook 15 Touch X515EA-EZ311WS Laptop,69.32352941176471,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8,DDR4,512,SSD,Intel Integrated UHD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,38990
Apple,MacBook Air 2022 Laptop,69.32352941176471,Apple M2 Apple M2 Chip,Octa Core,8,Unified,512,SSD,10-Core GPU,13.6,2560.0,1664.0,Mac OS,1,135990
Asus,Vivobook S15 OLED K3502ZA-L501WS Laptop,64.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16,DDR4,512,SSD,Intel Iris XE Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,72490
Asus,Vivobook S14 OLED S3402ZA-KM501WS Laptop,62.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16,DDR4,512,SSD,Intel Iris Xe Graphics,14.0,2880.0,1800.0,Windows 11 OS,1,72490
Dell,Inspiron 3511 Laptop,69.32352941176471,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8,DDR4,512,SSD,Intel UHD Graphics,15.56,1920.0,1080.0,Windows 11 OS,1,35990
Xiaomi,Mi Notebook Ultra Laptop,64.0,11th Gen Intel Core i5 11300H ,"Quad Core, 8 Threads",8,DDR4,512,SSD,Intel Iris Xe Graphics,15.6,3200.0,2000.0,Windows 10  OS,1,45989
Dell,Inspiron 3501 Laptop,69.32352941176471,11th Gen Intel Core i5 1135G7 ,"Quad Core, 8 Threads",8,DDR4,1024,Hard-Disk,Intel Iris Xe Graphics,15.6,1920.0,1080.0,Windows 10 OS,1,52500
Dell,Latitude 3410 Laptop,69.32352941176471,10th Gen Intel Core i5 10210U ,"Quad Core, 8 Threads",8,DDR4,512,SSD,Intel HD,14.0,1366.0,768.0,Ubuntu OS,1,59999
Apple,MacBook Air 2020 MGN73HN Laptop,69.32352941176471,Apple M1 Apple M1 Chip,Octa Core (4P + 4E),8,DDR4,512,SSD,Apple M1 Integrated Graphics,13.3,2560.0,1600.0,Mac OS,1,112990
Avita,Pura NS14A6 Laptop,69.32352941176471,3rd Gen AMD Ryzen 5  3500U,"Quad Core, 8 Threads",8,DDR4,512,SSD,AMD Radeon Vega 8,14.0,1920.0,1080.0,Windows 10 OS,1,21990
Apple,MacBook Pro 16 Laptop,81.0,9th Gen Intel Core i9,Octa Core,32,DDR4,2048,SSD,4GB Radeon Pro 5500M,16.0,3072.0,1920.0,Mac Catalina OS,1,201498
HP,Victus 15-fa1145TX Gaming Laptop,72.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16,DDR4,1024,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920.0,1080.0,Windows 11 OS,1,64990
Lenovo,Thinkpad E14 G4 21E3S00P00 Laptop,63.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8,DDR4,512,SSD,Intel Iris Xe Graphics,14.0,1920.0,1080.0,DOS OS,0,68999
Lenovo,Ideapad Gaming 3 15ARH7 82SB00QJIN Laptop,66.0,7th Gen AMD Ryzen 5 7535HS,"Hexa Core, 12 Threads",8,DDR5,512,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920.0,1080.0,Windows 11 OS,1,60990
Dell,Inspiron 3520 IN3520P9K46002ORS1 Laptop,69.32352941176471,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8,DDR4,512,SSD,Intel Integrated UHD,15.6,1920.0,1080.0,Windows 11 OS,1,40990
Lenovo,LOQ 15APH8 82XT004KIN Gaming Laptop,75.0,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16,DDR5,512,SSD,8GB NVIDIA GeForce RTX 4060,15.6,1920.0,1080.0,Windows 11 OS,1,107690
Lenovo,V15 G4 Laptop,69.32352941176471,AMD Athlon Silver 7120U,"Dual Core, 2 Threads",8,LPDDR5,512,SSD,AMD Radeon 610M,15.6,1920.0,1080.0,Windows 11 OS,1,25490
HP,15s-FR5012TU Laptop,69.32352941176471,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8,DDR4,512,SSD,Intel UHD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,38999
Infinix,INBook Y1 Plus 15 XL28 Laptop,69.32352941176471,10th Gen Intel Core i5 1035G1,"Quad Core, 8 Threads",8,LPDDR4X,512,SSD,Intel Integrated UHD,15.6,1920.0,1080.0,Windows 11 OS,1,59990
HP,Victus 15-FA1098TX Laptop,64.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",8,DDR4,512,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920.0,1080.0,Windows 11 OS,1,60990
